tx_id,id,monto_tx,categoria,fecha_tx,mes_tx,monto_iva,nombre,edad,ciudad,total_compras,monto_total,ticket_promedio,edad_bucket,monto_total_norm
1,1,15720.550004193296,Moda,2025-02-25,2025-02,18707.454504990023,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
2,8,14657.231155516563,Electrónica,2025-04-07,2025-04,17442.10507506471,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
3,7,9601.327944513105,Moda,2025-04-26,2025-04,11425.580253970595,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
4,5,13145.589157688,Electrónica,2025-02-08,2025-02,15643.25109764872,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
5,5,12624.884760153918,Electrónica,2025-01-25,2025-01,15023.612864583161,Jorge,31.0,La Plata,8,3200,400.0,26-35,0.7804878048780488
6,9,13083.747653823553,Moda,2025-04-25,2025-04,15569.659708050027,Diego,40.5,Neuquén,7,3300,471.42857142857144,36-50,0.8048780487804879
7,1,21358.296942860572,Deportes,2025-03-18,2025-03,156526.40770854475,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
8,7,13106.237423444523,Electrónica,2025-02-04,2025-02,15596.422533898982,Pedro,31.0,Tucumán,1,400,400.0,26-35,0.0975609756097561
9,3,15370.491902228296,Hogar,2025-03-16,2025-03,18290.885363651672,Carlos,40.5,Rosario,0,0,0.0,36-50,0.0
10,1,12409.7504264454,Deportes,2025-03-03,2025-03,14767.603007470025,Ana,25.0,Buenos Aires,5,2500,500.0,<=25,0.6097560975609756
11,6,13410.280355874713,Deportes,2025-04-19,2025-04,15958.233623490907,Lucía,28.0,Salta,10,4100,410.0,26-35,1.0
12,10,15116.406740272396,Moda,2025-01-31,2025-01,17988.52402092415,Valentina,30.0,Bahía Blanca,6,2950,491.6666666666667,26-35,0.7195121951219512
13,8,7277.775680012768,Hogar,2025-04-29,2025-04,8660.553059215194,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
14,8,10836.768993882692,Hogar,2025-04-23,2025-04,12895.755102720403,Sofía,33.0,Santa Fe,4,2100,525.0,26-35,0.5121951219512195
